H_final,P_final,PH_final,N_final,numyears,r_H,K_H,theta_H,c,d,E_H,q_H,m_H,r_P,K_P,theta_P,b,q_P,E_P,m_P,v_m,k_s,m_ph,y,r_m,kg,dt,N_pulse
21.678904877952355,0.8361426232372475,0.11616115530001835,0.02162277449819486,36500,0.0010958904109589042,51.66666666666667,0,0.0005479452054794521,50.0,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
22.148562594690972,0.8806386919632927,0.11652398748756748,0.021888631698907465,36500,0.0010958904109589042,52.777777777777786,0,0.0005479452054794521,50.0,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
22.61773850483205,0.9261180457135365,0.11687464964094396,0.022154463519465397,36500,0.0010958904109589042,53.88888888888889,0,0.0005479452054794521,50.0,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
23.08643269349532,0.9725330853857544,0.11721370917831984,0.022420266909739042,36500,0.0010958904109589042,55.00000000000001,0,0.0005479452054794521,50.0,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
20.877724527344725,0.9858419818633081,0.11557403455109891,0.021176759219464297,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,45.0,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
20.902249751846345,0.932398002776233,0.11557924155482398,0.021188886019298143,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,46.111111111111114,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
20.92478171278643,0.8824466415546514,0.11558378552768575,0.02120000125946006,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,47.22222222222222,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
20.945498551437165,0.8357534465031335,0.11558774860360306,0.021210197686922918,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,48.333333333333336,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
20.964561789892205,0.792097276867399,0.11559120257326674,0.02121955914206968,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,49.44444444444445,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
20.98211787882156,0.7512701151716769,0.11559421020636179,0.021228161418695077,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,50.55555555555556,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
20.998299606898623,0.7130767628988537,0.11559682640378609,0.021236073043410207,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,51.66666666666667,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
21.01322738387758,0.6773344439267776,0.11559909920176893,0.02124335598179703,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,52.777777777777786,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
21.027010407967193,0.643872337720267,0.11560107064689806,0.02125006627786226,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,53.88888888888889,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
21.03974772712469,0.6125310616475269,0.11560277755859799,0.02125625463270566,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,55.00000000000001,0.000410958904109589,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
22.708854115821858,0.9369731050316732,0.11694196445809846,0.02220617603091714,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,50.0,0.0003698630136986301,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
22.32453775756849,0.8990112205196491,0.11665727410011237,0.021988353182765447,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,50.0,0.00037899543378995434,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
21.939500612895763,0.8616867529447146,0.11636425658590843,0.0217702883911573,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,50.0,0.00038812785388127856,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
21.55370749215907,0.825027107635714,0.11606253648930065,0.02155196408444222,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,50.0,0.0003972602739726027,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
21.167121688385546,0.7890590668199905,0.115751714530537,0.021333361938014307,36500,0.0010958904109589042,50.0,0,0.0005479452054794521,50.0,0.00040639269406392693,1.0,0.00027397260273972606,0.00027397260273972606,10.0,0,0.0005479452054794521,1.0,0.000410958904109589,2.7397260273972603e-05,2.0,1.0,0.03,0.1,1.1,12.0,0.1,0.026
